
running 296 tests
test reference_fixtures_activity_activity_mono_multi_line2_puml ... ok
test reference_fixtures_activity_activity_creole_table_01_puml ... ok
test reference_fixtures_activity_activity_mono_multi_line_puml ... ok
test reference_fixtures_activity_activity_mono_multi_line_v2_puml ... ok
test reference_fixtures_activity_swimlane001_puml ... ok
test reference_fixtures_activity_activity_mono_multi_line2_v2_puml ... ok
test reference_fixtures_activity_activity_creole_table_02_puml ... ok
test reference_fixtures_activity_a0002_puml ... ok
test reference_fixtures_class_hideshow003_puml ... ok
test reference_fixtures_class_hideshow001_puml ... ok
test reference_fixtures_class_hideshow004_puml ... ok
test reference_fixtures_class_class_funcparam_arrow_02_puml ... ok
test reference_fixtures_class_hideshow002_puml ... ok
test reference_fixtures_component_colors001_puml ... ok
test reference_fixtures_component_buitin_newline_chr_puml ... ok
test reference_fixtures_class_xmi0003_puml ... ok
test reference_fixtures_component_gml0000_puml ... ok
test reference_fixtures_component_gml0001_puml ... ok
test reference_fixtures_component_componentextraarrows_0001_puml ... ok
test reference_fixtures_class_xmi0004_puml ... ok
test reference_fixtures_class_generics001_puml ... ok
test reference_fixtures_component_xmi0001_puml ... ok
test reference_fixtures_component_deployment01_puml ... ok
test reference_fixtures_component_jaws5_puml ... ok
test reference_fixtures_class_xmi0002_puml ... ok
test reference_fixtures_dev_jaws_jaws12_puml ... ok
test reference_fixtures_class_colors001_puml ... ok
test reference_fixtures_component_deployment_last_name_multi_line_puml ... ok
test reference_fixtures_dev_jaws_jaws8_puml ... ok
test reference_fixtures_dev_jaws_jaws9_puml ... ok
test reference_fixtures_dev_newline_WBS_arrow_puml ... ok
test reference_fixtures_class_a0005_puml ... ok
test reference_fixtures_dev_newline_activity_mono_multi_line2_puml ... ok
test reference_fixtures_dev_newline_activity_creole_table_puml ... ok
test reference_fixtures_dev_jaws_jaws5_puml ... ok
test reference_fixtures_dev_jaws_jaws11_puml ... ok
test reference_fixtures_dev_newline_activity_mono_multi_line_puml ... ok
test reference_fixtures_dev_newline_builtin_newline_puml ... ok
test reference_fixtures_dev_newline_WBS_direction_puml ... ok
test reference_fixtures_dev_jaws_jaws3_puml ... ok
test reference_fixtures_dev_jaws_jaws10_puml ... ok
test reference_fixtures_class_class_funcparam_arrow_01_puml ... ok
test reference_fixtures_dev_newline_json_escaped_puml ... ok
test reference_fixtures_dev_jaws_jaws2_puml ... ok
test reference_fixtures_dev_newline_deployment_on_name_puml ... ok
test reference_fixtures_class_qualifiedassoc002_puml ... ok
test reference_fixtures_dev_newline_link_URL_tooltip_puml ... ok
test reference_fixtures_dev_newline_deployment_mono_multi_line_puml ... ok
test reference_fixtures_dev_jaws_jaws4_puml ... ok
test reference_fixtures_ditaa_basic_puml ... ok
test reference_fixtures_dev_newlinev2_activity_mono_multi_line2_v2_puml ... ok
test reference_fixtures_dev_newline_preproc_functionparam_line_continuation_puml ... ok
test reference_fixtures_dev_newline_state_monoline_puml ... ok
test reference_fixtures_dev_newlinev2_activity_mono_multi_line_v2_puml ... ok
test reference_fixtures_dev_newline_buitin_newline_chr_puml ... ok
test reference_fixtures_dev_newline_deployment_last_name_multi_line_puml ... ok
test reference_fixtures_dev_jaws_jaws6_puml ... ok
test reference_fixtures_dev_jaws_jaws7_puml ... ok
test reference_fixtures_json_json_escaped_puml ... ok
test reference_fixtures_erd_chenrankdir_puml ... ok
test reference_fixtures_erd_weak001_puml ... ok
test reference_fixtures_misc_a0004_puml ... ok
test reference_fixtures_erd_chenmovie_puml ... ok
test reference_fixtures_mindmap_jaws12_puml ... ok
test reference_fixtures_dot_basic_puml ... ok
test reference_fixtures_dev_newline_seq_mono_line_puml ... ok
test reference_fixtures_component_subdiagram_theme_02_puml ... ok
test reference_fixtures_misc_deployment_on_name_puml ... ok
test reference_fixtures_erd_chenmoviealias_puml ... ok
test reference_fixtures_erd_chenmovieextended_puml ... ok
test reference_fixtures_misc_link_url_tooltip_04_puml ... ok
test reference_fixtures_class_qualifiedassoc001_puml ... ok
test reference_fixtures_gantt_a0003_puml ... ok
test reference_fixtures_misc_creole_note001_puml ... ok
test reference_fixtures_misc_skinparam_class001_puml ... ok
