
running 322 tests
test reference_fixtures_chart_single_series_puml ... FAILED
test reference_fixtures_chronology_basic_puml ... FAILED
test reference_fixtures_chart_bar_basic_puml ... FAILED
test reference_fixtures_board_basic_puml ... FAILED
test reference_fixtures_activity_swimlane001_puml ... FAILED
test reference_fixtures_activity_activity_mono_multi_line2_puml ... FAILED
test reference_fixtures_activity_activity_mono_multi_line2_v2_puml ... FAILED
test reference_fixtures_activity_activity_creole_table_01_puml ... FAILED
test reference_fixtures_activity_activity_mono_multi_line_puml ... FAILED
test reference_fixtures_activity_activity_mono_multi_line_v2_puml ... FAILED
test reference_fixtures_activity_activity_creole_table_02_puml ... FAILED
test reference_fixtures_archimate_basic_puml ... FAILED
test reference_fixtures_archimate_layers_puml ... FAILED
test reference_fixtures_chart_pie_basic_puml ... ok
test reference_fixtures_activity_a0002_puml ... FAILED
test reference_fixtures_class_hideshow001_puml ... FAILED
test reference_fixtures_component_colors001_puml ... FAILED
test reference_fixtures_class_hideshow003_puml ... FAILED
test reference_fixtures_class_class_funcparam_arrow_02_puml ... FAILED
test reference_fixtures_class_hideshow004_puml ... FAILED
test reference_fixtures_class_xmi0003_puml ... FAILED
test reference_fixtures_class_hideshow002_puml ... FAILED
test reference_fixtures_component_componentextraarrows_0001_puml ... FAILED
test reference_fixtures_component_gml0000_puml ... FAILED
test reference_fixtures_component_buitin_newline_chr_puml ... FAILED
test reference_fixtures_class_generics001_puml ... FAILED
test reference_fixtures_component_deployment01_puml ... FAILED
test reference_fixtures_component_gml0001_puml ... FAILED
test reference_fixtures_class_a0005_puml ... FAILED
test reference_fixtures_class_xmi0002_puml ... FAILED
test reference_fixtures_dev_jaws_jaws12_puml ... FAILED
test reference_fixtures_component_xmi0001_puml ... FAILED
test reference_fixtures_class_xmi0004_puml ... FAILED
test reference_fixtures_component_jaws5_puml ... FAILED
test reference_fixtures_component_deployment_last_name_multi_line_puml ... FAILED
test reference_fixtures_class_colors001_puml ... FAILED
test reference_fixtures_dev_jaws_jaws8_puml ... FAILED
test reference_fixtures_dev_jaws_jaws5_puml ... FAILED
test reference_fixtures_dev_newline_WBS_arrow_puml ... FAILED
test reference_fixtures_dev_jaws_jaws9_puml ... FAILED
test reference_fixtures_dev_newline_activity_mono_multi_line2_puml ... FAILED
test reference_fixtures_dev_newline_activity_creole_table_puml ... FAILED
test reference_fixtures_dev_newline_WBS_direction_puml ... FAILED
test reference_fixtures_dev_newline_activity_mono_multi_line_puml ... FAILED
test reference_fixtures_class_class_funcparam_arrow_01_puml ... FAILED
test reference_fixtures_dev_newline_builtin_newline_puml ... FAILED
test reference_fixtures_dev_jaws_jaws3_puml ... FAILED
test reference_fixtures_class_qualifiedassoc002_puml ... FAILED
test reference_fixtures_dev_jaws_jaws10_puml ... FAILED
test reference_fixtures_component_svg0001_puml ... FAILED
test reference_fixtures_dev_jaws_jaws11_puml ... FAILED
test reference_fixtures_dev_newline_json_escaped_puml ... FAILED
test reference_fixtures_dev_jaws_jaws4_puml ... FAILED
test reference_fixtures_dev_newline_link_URL_tooltip_puml ... FAILED
test reference_fixtures_dev_newline_deployment_mono_multi_line_puml ... FAILED
test reference_fixtures_dev_newline_deployment_on_name_puml ... FAILED
test reference_fixtures_dev_jaws_jaws2_puml ... FAILED
test reference_fixtures_ditaa_basic_puml ... ok
test reference_fixtures_dev_newlinev2_activity_mono_multi_line2_v2_puml ... FAILED
test reference_fixtures_dev_newline_preproc_functionparam_line_continuation_puml ... FAILED
test reference_fixtures_dev_newlinev2_activity_mono_multi_line_v2_puml ... FAILED
test reference_fixtures_dev_newline_state_monoline_puml ... FAILED
test reference_fixtures_ebnf_basic_puml ... FAILED
test reference_fixtures_dev_jaws_jaws6_puml ... FAILED
test reference_fixtures_dev_newline_deployment_last_name_multi_line_puml ... FAILED
test reference_fixtures_dot_basic_puml ... ok
